,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.002576875686645508,0.0004822596366500695,0.04408450126647949,0.005268927450596525,1,1,"{'n_neighbors': 1, 'p': 1}",0.8,0.88,0.83,0.87,0.81,0.8380000000000001,0.03187475490101844,4
1,0.00279383659362793,0.0002712797962590292,0.02036118507385254,0.002215753882646436,1,2,"{'n_neighbors': 1, 'p': 2}",0.83,0.88,0.86,0.89,0.85,0.8619999999999999,0.02135415650406264,1
2,0.002650737762451172,0.0002871861590324555,0.043792009353637695,0.005381019608049223,2,1,"{'n_neighbors': 2, 'p': 1}",0.79,0.87,0.8,0.82,0.81,0.818,0.027856776554368225,11
3,0.002501964569091797,0.00031030813266350775,0.016347122192382813,0.0026371326895298147,2,2,"{'n_neighbors': 2, 'p': 2}",0.8,0.87,0.8,0.85,0.81,0.826,0.02870540018881462,8
4,0.0019737720489501954,0.00018852012593226027,0.03921475410461426,0.0077239066398068395,3,1,"{'n_neighbors': 3, 'p': 1}",0.8,0.86,0.82,0.85,0.84,0.834,0.021540659228538,6
5,0.002642059326171875,0.0002641749553189475,0.015601253509521485,0.004011722469228177,3,2,"{'n_neighbors': 3, 'p': 2}",0.83,0.86,0.84,0.87,0.85,0.85,0.014142135623730963,2
6,0.0020398616790771483,0.0004228017072788215,0.03596854209899902,0.007092095749638985,4,1,"{'n_neighbors': 4, 'p': 1}",0.8,0.87,0.82,0.85,0.85,0.8379999999999999,0.0248193472919817,5
7,0.0021547794342041014,0.00035148350384631724,0.012560749053955078,0.003163778203512607,4,2,"{'n_neighbors': 4, 'p': 2}",0.82,0.86,0.84,0.87,0.83,0.844,0.018547236990991426,3
8,0.0019395828247070312,0.0004004054286665347,0.03515968322753906,0.007990331651151858,5,1,"{'n_neighbors': 5, 'p': 1}",0.77,0.84,0.81,0.85,0.84,0.8220000000000001,0.029257477676655565,10
9,0.0019471168518066407,0.0003304297578325045,0.015504789352416993,0.005729951101466898,5,2,"{'n_neighbors': 5, 'p': 2}",0.8,0.82,0.82,0.87,0.83,0.828,0.023151673805580447,7
10,0.0019334793090820313,0.0004167135171494576,0.03927378654479981,0.008965831327817954,6,1,"{'n_neighbors': 6, 'p': 1}",0.75,0.84,0.81,0.84,0.83,0.8139999999999998,0.03382306905057551,14
11,0.0021964550018310548,0.0002937305128395988,0.01783928871154785,0.003073882017368596,6,2,"{'n_neighbors': 6, 'p': 2}",0.79,0.84,0.82,0.85,0.83,0.826,0.02059126028197398,8
12,0.0019931793212890625,0.0001940734849207228,0.03951983451843262,0.004017756694812321,7,1,"{'n_neighbors': 7, 'p': 1}",0.71,0.82,0.81,0.82,0.81,0.7939999999999999,0.04223742416388576,18
13,0.0023308277130126955,0.00022459624418264822,0.020206546783447264,0.0023301976289094406,7,2,"{'n_neighbors': 7, 'p': 2}",0.76,0.83,0.82,0.84,0.84,0.818,0.029933259094191516,11
14,0.002267599105834961,0.00023751492911753386,0.040950870513916014,0.011059649134386555,8,1,"{'n_neighbors': 8, 'p': 1}",0.74,0.82,0.81,0.83,0.81,0.8019999999999999,0.03187475490101845,16
15,0.0021771907806396483,0.00019069435166237624,0.014873313903808593,0.0013381917721944346,8,2,"{'n_neighbors': 8, 'p': 2}",0.77,0.83,0.81,0.84,0.82,0.8140000000000001,0.024166091947189123,13
16,0.002203369140625,0.00023967766181185292,0.04162087440490723,0.007026669869399172,9,1,"{'n_neighbors': 9, 'p': 1}",0.71,0.81,0.81,0.84,0.84,0.8019999999999999,0.04791659420284376,16
17,0.0021040916442871095,9.468482821164323e-05,0.013927555084228516,0.003726032320814454,9,2,"{'n_neighbors': 9, 'p': 2}",0.73,0.84,0.81,0.83,0.83,0.808,0.040199502484483556,15
